MES/ANO,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
ENERO,8.95,10.46,12.19,15.68,19.59,18.68,26.02,19.11,24.13,27.5,30.69,31.74,31.3,18.86,13.65,18.35,20.74,19.87,21.09,18.02,26.4,35.79,29.16
FEBRERO,8.66,11.5,11.9,15.1,19.16,17.64,26.09,17.97,23.59,28.35,32.24,32.32,30.49,19.81,13.02,17.89,20.39,21.09,18.74,19.46,29.29,33.02,30.72
MARZO,8.69,12.83,12.17,16.01,18.51,18.8,27.84,16.73,23.96,31.4,32.75,31.44,30.33,20.18,14.8,17.6,20.07,21.86,17.11,21.21,36.21,30.67,29.97
ABRIL,9.38,12.22,13.71,17.89,19.35,20.34,30.47,16.6,24.56,32.16,32.52,29.43,30.44,20.04,15.12,17.6,21.22,21.94,14.91,20.65,32.95,29.78,29.78
MAYO,9.44,10.63,13.79,18.31,20.38,20.91,32.31,17.33,24.42,31.95,31.12,28.68,30.25,21.32,16.26,16.86,22.29,21.97,14.09,21.75,34.83,27.43,28.17
JUNIO,9.32,9.46,13.62,16.99,20.48,21.39,36.16,19.51,22.68,30.96,28.74,28.02,30.28,20.78,17.21,16.45,22.1,20.75,15.34,22.26,35.4,26.53,27.43
JULIO,9.47,9.57,14.08,17.03,20.57,21.48,36.95,20.26,22.91,31.1,29.3,30.24,30.14,19.53,16.36,16.61,22.1,20.98,16.34,22.61,31.52,27.91,28.25
AGOSTO,9.85,10.25,14.88,17.63,21.43,21.61,34.98,21.41,23.17,31.15,30.88,30.69,30.42,17.4,16.22,17.55,22.06,20.21,16.62,22.91,33.89,31.85,
SEPTIEMBRE,9.81,10.92,14.83,19.01,20.99,21.24,32.47,21.46,22.6,30.74,33.01,31.77,28.7,17.63,16.88,18.3,22.98,20.99,15.45,23.56,30.7,33.46,
OCTUBRE,10.07,10.56,15.22,20.27,19.73,22.77,28.88,20.97,24.55,30.48,32.47,30.57,26.85,17.65,17.57,19.1,24.19,21.2,15.01,25.46,38.33,33.72,
NOVIEMBRE,10.14,10.72,15.34,20.85,18.76,25,24.72,23.13,25.17,31.87,30.89,30.48,25.09,17.21,17.18,19.93,22.87,20.93,15.07,26.02,38.89,31.12,
DICIEMBRE,10.06,11,15.06,20.44,18.63,25.93,20.71,23.05,26.65,30.64,32.17,31.6,22.27,15.41,18.15,20.07,20.72,21.09,17.23,24.36,34.52,29.29,
Promedio,9.49,10.84,13.9,17.93,19.8,21.31,29.8,19.79,24.03,30.69,31.4,30.58,28.88,18.82,16.03,18.02,21.81,21.07,16.42,22.43,33.58,30.88,29.07
